,labels,preds,misclassified
0,2,2,False
1,1,1,False
2,0,0,False
3,1,1,False
4,0,0,False
5,1,1,False
6,2,2,False
7,0,0,False
8,0,0,False
9,0,0,False
10,2,2,False
11,2,2,False
12,2,2,False
13,2,2,False
14,0,0,False
15,2,2,False
16,0,0,False
17,0,1,True
18,2,2,False
19,1,1,False
20,2,2,False
21,2,2,False
22,0,0,False
23,0,0,False
24,0,0,False
25,0,0,False
26,2,2,False
27,0,0,False
28,1,1,False
29,2,2,False
30,0,0,False
31,2,2,False
32,2,2,False
33,0,1,True
34,1,1,False
35,1,1,False
36,0,0,False
37,2,2,False
38,0,0,False
39,0,0,False
40,2,2,False
41,1,1,False
42,0,0,False
43,2,2,False
44,0,1,True
45,1,1,False
46,1,1,False
47,2,2,False
48,0,1,True
49,2,2,False
50,2,2,False
51,2,2,False
52,0,1,True
53,1,1,False
54,1,1,False
55,0,0,False
56,0,0,False
57,0,0,False
58,1,1,False
59,0,0,False
60,1,1,False
61,0,0,False
62,1,1,False
63,2,2,False
64,2,2,False
65,0,0,False
66,1,1,False
67,1,1,False
68,2,2,False
69,1,1,False
70,0,0,False
71,2,2,False
72,1,1,False
73,1,1,False
74,0,0,False
75,2,2,False
76,1,1,False
77,0,0,False
78,0,0,False
79,2,2,False
80,1,1,False
81,1,1,False
82,2,2,False
83,0,0,False
84,2,2,False
85,1,1,False
86,1,1,False
87,2,2,False
88,0,0,False
89,2,2,False
90,2,2,False
91,1,1,False
92,0,1,True
93,0,1,True
94,1,1,False
95,0,0,False
96,0,0,False
97,1,1,False
98,1,1,False
99,2,2,False
100,1,1,False
101,2,2,False
102,1,1,False
103,1,1,False
104,1,1,False
105,2,2,False
106,1,1,False
107,2,2,False
108,1,1,False
109,1,1,False
110,2,2,False
111,0,1,True
112,0,0,False
113,0,1,True
114,2,2,False
115,0,0,False
116,2,2,False
117,2,2,False
118,2,2,False
119,2,2,False
120,1,1,False
121,1,1,False
122,2,2,False
123,1,1,False
124,2,2,False
125,1,1,False
126,0,0,False
127,2,2,False
128,1,1,False
129,2,2,False
130,0,0,False
131,2,2,False
132,1,1,False
133,0,0,False
134,1,1,False
135,0,0,False
136,2,2,False
137,0,0,False
138,0,0,False
139,1,1,False
140,2,2,False
141,1,1,False
142,2,2,False
143,0,0,False
144,2,2,False
145,1,1,False
146,0,0,False
147,1,1,False
148,1,1,False
149,0,1,True
150,2,2,False
151,0,1,True
152,2,2,False
153,1,1,False
154,2,2,False
155,1,1,False
156,2,2,False
157,2,2,False
158,2,2,False
159,2,2,False
160,0,0,False
161,1,1,False
162,1,1,False
163,2,2,False
164,0,0,False
165,0,0,False
166,2,2,False
167,1,1,False
168,1,1,False
169,0,0,False
170,1,1,False
171,2,2,False
172,2,2,False
173,1,1,False
174,0,0,False
175,2,2,False
176,1,1,False
177,1,1,False
178,1,1,False
179,2,2,False
180,1,0,True
181,1,1,False
182,1,1,False
183,1,1,False
184,1,1,False
185,1,1,False
186,2,2,False
187,1,1,False
188,1,1,False
189,1,1,False
190,1,1,False
191,0,0,False
192,1,1,False
193,0,0,False
